1: x1='2.5', x2='7.5'
197: x1='1.1030713628855278', x2='0.22702213041025265'
198: x1='0.21726231022570186', x2='10.297048924280233'
199: x1='1.046391781524962', x2='0.2772243875349423'
200: x1='4.180729685590222', x2='9.949471817208282'
201: x1='1.0861491122389957', x2='1.393101482718617'
202: x1='-0.8664206805480106', x2='4.960564822837569'
203: x1='1.200653052658324', x2='0.10851301963720306'
204: x1='4.460463909273502', x2='12.207006747653615'
205: x1='3.956347898905868', x2='1.456048873282259'
206: x1='6.820786266029799', x2='9.933591856950146'
207: x1='4.118076016504762', x2='1.4521818881462478'
208: x1='0.13770669970132854', x2='2.150300272359342'
209: x1='2.3014935758956305', x2='1.496647026323188'
210: x1='-3.421572736581365', x2='3.1719675364424083'
211: x1='1.6903834883020998', x2='1.4730407100938503'
212: x1='8.095308799592296', x2='9.665800210588863'
213: x1='1.952338936725786', x2='1.4456017033218234'
214: x1='-1.5836366044586514', x2='8.574965285779568'
215: x1='-3.8722903577666594', x2='14.328396229429629'
216: x1='3.783542694747357', x2='12.535389542491812'
217: x1='-3.796172012786484', x2='14.326517870934808'
218: x1='6.945789113936632', x2='2.2134524553608603'
219: x1='-3.29000782721071', x2='14.350145000342357'
220: x1='-2.3710434134131524', x2='12.43844826070227'
221: x1='-3.7342824864291004', x2='14.320236166870092'
222: x1='-0.2701769038148667', x2='12.283228582892649'
223: x1='-3.1693802398263253', x2='14.342006936132568'
224: x1='1.201329826312497', x2='8.244578360125425'
225: x1='6.445214745752255', x2='1.4387615426473626'
226: x1='3.5207369514647606', x2='0.03544517899774835'
227: x1='-2.068749187529261', x2='1.439719773611201'
228: x1='2.0692318052851757', x2='7.609590434848358'
229: x1='-0.7828911442319386', x2='1.437991377993676'
230: x1='3.306287430199623', x2='10.653286259662531'
231: x1='-3.5811847497419764', x2='14.593435053931993'
232: x1='7.224275167650832', x2='9.849807423246245'
233: x1='-3.5465643776007156', x2='14.909035571966303'
234: x1='9.373067694080426', x2='2.3086061715349793'
235: x1='-4.084834460125853', x2='14.320536919825393'
236: x1='2.7648826106951025', x2='6.0992384186839415'
237: x1='-4.086172008533239', x2='13.499769594647328'
238: x1='2.9502495096714876', x2='14.126973039724556'
239: x1='-4.051715698761702', x2='12.88711994372068'
240: x1='1.745422666598869', x2='2.1724142479699973'
241: x1='-4.075746302113305', x2='12.771825117561091'
242: x1='6.46456284572046', x2='2.101075019377905'
243: x1='-4.068228169588318', x2='10.964222498748654'
244: x1='6.541337893973331', x2='5.2553315414243205'
245: x1='-4.610639330920539', x2='13.964880905866323'
246: x1='6.4567148920135224', x2='6.612466242301678'
247: x1='-4.619137676566364', x2='14.872604587122051'
248: x1='8.391053348611019', x2='9.739827013156987'
249: x1='-4.602050329008578', x2='14.271968290155348'
250: x1='6.742364680395989', x2='7.65698306770471'
251: x1='-4.61681461631605', x2='12.997127358269752'
252: x1='3.5931692339851047', x2='0.11702409318571527'
253: x1='-4.6122040741209265', x2='12.34135413098192'
254: x1='0.1110292570308733', x2='7.7279095017761765'
255: x1='-3.797414280079729', x2='5.0323425291066135'
256: x1='-2.8685535326125344', x2='12.68282881580744'
257: x1='-3.7889511850484023', x2='5.074334566877683'
258: x1='-2.0564634705680436', x2='9.702127777004282'
259: x1='-3.7924007059778435', x2='6.137031771301899'
260: x1='9.770413488044428', x2='11.0875096132394'
261: x1='-3.7590667722020275', x2='4.673861734043089'
262: x1='-3.698280130739162', x2='10.437405343457216'
263: x1='-3.7779972914917903', x2='4.9695204673194535'
264: x1='0.1963572046743849', x2='5.6119952552143335'
265: x1='3.624301327807993', x2='0.09701591710614743'
266: x1='-3.734280857902781', x2='13.632751281967742'
267: x1='3.62911526160919', x2='0.3587722281773026'
268: x1='-4.31521577110325', x2='1.4261496887198573'
269: x1='8.793794822938828', x2='0.7511199030416726'
270: x1='5.443637041767186', x2='0.47321429394697023'
271: x1='8.787670200011169', x2='0.4809279923121679'
272: x1='6.8760310542834535', x2='11.80982071517785'
273: x1='8.780634949881147', x2='0.1650918751307867'
274: x1='3.821444050771529', x2='8.199055102326556'
275: x1='-1.8811522870121062', x2='14.581265721200833'
276: x1='8.052342173212095', x2='10.247607365370879'
277: x1='-1.8808729787807876', x2='14.480550625298683'
278: x1='6.667888168848371', x2='9.172203748175779'
279: x1='-1.8951732608312275', x2='14.5606379428183'
280: x1='-1.235859447212666', x2='1.6155296713042806'
281: x1='-1.6732373202941346', x2='14.576723930152298'
282: x1='5.154937953581406', x2='10.245243106746152'
283: x1='-1.5764011921829773', x2='14.888669965433438'
284: x1='9.100783441196556', x2='12.844470634340139'
285: x1='8.662710606374718', x2='2.3934649018375365'
286: x1='0.3971410968738045', x2='8.134344932474477'
287: x1='8.739128614049845', x2='2.3487397426195145'
288: x1='3.3267960568133645', x2='12.266951252336886'
289: x1='8.64232785368323', x2='1.6145617851610043'
290: x1='2.7486581940709787', x2='12.477812065013312'
291: x1='8.715809576828134', x2='2.2016939111619833'
292: x1='-4.185468239537379', x2='7.915628023881004'
293: x1='8.73541563045196', x2='1.5716193102699072'
294: x1='3.433231489812316', x2='8.08898055207153'
295: x1='6.8726830133794845', x2='1.4441071214851364'
296: x1='9.196774608320336', x2='7.406020764106043'
297: x1='-3.6946555624378967', x2='14.941794313431432'
298: x1='0.8717404947681224', x2='0.6705043026931312'
299: x1='-3.5589187563054168', x2='14.99581080305317'
300: x1='-3.263886178657337', x2='9.649486740936448'
301: x1='-3.9505748407148547', x2='14.921062877758764'
302: x1='-0.8951428445811498', x2='10.946958962884'
303: x1='-2.3707651941475465', x2='14.985484765832817'
304: x1='-1.3532707881903412', x2='12.515363238988668'
305: x1='9.68540139430182', x2='1.4409676077230422'
306: x1='-4.6261644082142785', x2='11.755539934085288'
307: x1='3.322514538322814', x2='1.442303085711153'
308: x1='4.1718888700516', x2='8.286078536960487'
309: x1='-3.5592890505371644', x2='9.403390483226508'
310: x1='-4.817002968784346', x2='3.648972198376346'
311: x1='-3.574710971636448', x2='9.369329717972061'
312: x1='-4.44631586748481', x2='7.123284211111768'
313: x1='-3.3012463559833307', x2='9.45863318576696'
314: x1='0.6979261354780135', x2='11.492400865150737'
315: x1='-3.2791297994558817', x2='12.133570682154808'
316: x1='7.789321516404639', x2='9.492993769328702'
317: x1='-3.430408928547815', x2='11.848743652577179'
318: x1='4.385250296888575', x2='13.66098354370687'
319: x1='-3.4646270006398256', x2='11.98361943097895'
320: x1='-2.201586861684297', x2='13.29896844100576'
321: x1='-3.6509383588076583', x2='12.01896665459515'
322: x1='2.3842391597284474', x2='9.11194086238159'
323: x1='-3.569969378275473', x2='11.934335651639294'
324: x1='2.7462918795476057', x2='2.0844142800483203'
325: x1='2.6910062757865125', x2='3.3272482193491597'
326: x1='-1.6129309463813901', x2='3.1463397176359402'
327: x1='9.982279304069774', x2='3.302388136234752'
328: x1='-3.566753990168995', x2='4.796459693378214'
329: x1='1.9832724347351398', x2='3.3555531709094524'
330: x1='2.063661236045526', x2='7.496856509321473'
331: x1='2.0530918304190617', x2='3.3414733679428323'
332: x1='-3.7371390611805815', x2='0.9335867339311127'
333: x1='1.8650946849412096', x2='3.356477181092225'
334: x1='9.961480255499364', x2='11.307261252620586'
335: x1='-3.5589187563054168', x2='14.124183291952646'
336: x1='-0.914608453998925', x2='10.738118852448382'
337: x1='-2.664712789713554', x2='14.124697974774465'
338: x1='5.32274616441914', x2='9.972211828522944'
339: x1='-2.168997136187202', x2='14.113458838711972'
340: x1='7.254470394700517', x2='14.100275137180114'
341: x1='-3.4363361536658137', x2='13.479902070263252'
342: x1='-3.829399096884884', x2='13.030354670753514'
343: x1='-3.2914222640797157', x2='13.441801004839022'
344: x1='7.125616432245565', x2='13.588571089431921'
345: x1='-0.7487670344850708', x2='0.8664900566180883'
346: x1='6.51826925598313', x2='3.5854328879280284'
347: x1='3.8653130400739197', x2='4.381290021181416'
348: x1='-4.6696921432942915', x2='8.352202687681869'
349: x1='2.7369065282916685', x2='2.2847066226321537'
350: x1='5.874473892135743', x2='11.572565252171774'
351: x1='4.1456517539610225', x2='4.452870571799965'
352: x1='8.617521770262128', x2='4.536560110213563'
353: x1='-0.9416440572393334', x2='14.61408187136092'
354: x1='-2.2415481305049356', x2='6.831634698527126'
355: x1='3.122254758225619', x2='3.59978569287386'
356: x1='-2.773449757255226', x2='11.92264504491488'
357: x1='3.1216578188459145', x2='0.030864775444888193'
358: x1='-2.487690849288658', x2='1.7106230823997755'
359: x1='2.7501637270484984', x2='4.284338357305606'
360: x1='6.128189759055781', x2='10.562199021642986'
361: x1='2.7552564247245828', x2='4.6502052698310505'
362: x1='-0.4040270454886219', x2='9.25645939335113'
363: x1='2.75353765250589', x2='4.598515758619634'
364: x1='-1.9769131328317164', x2='3.712092955683643'
365: x1='-3.806876413942599', x2='14.338618171794012'
366: x1='4.618115492452324', x2='4.717923193958759'
367: x1='-3.058173654782283', x2='14.33968006120426'
368: x1='-3.4419273713353657', x2='9.720835370011647'
369: x1='-4.090345808200315', x2='13.76881299157623'
370: x1='-3.861859929096791', x2='9.72998419765624'
371: x1='-2.9020551908231744', x2='14.341467649923198'
372: x1='-1.857394909773725', x2='7.4778686479689656'
373: x1='-4.093762946608943', x2='13.285458127839865'
374: x1='-4.1594451366559', x2='6.466733143516442'
375: x1='-3.7871941097382518', x2='14.42094067827761'
376: x1='3.5264633591546524', x2='8.8794785387838'
377: x1='-3.6946555624378967', x2='14.40152011164512'
378: x1='-3.451581033644442', x2='8.913839485546458'
379: x1='-3.4544424125961197', x2='14.394919010674288'
380: x1='-0.5756590338971987', x2='12.34708915946626'
381: x1='-3.5215425076539164', x2='14.478998179140888'
382: x1='-0.4683522541685372', x2='14.786691912349482'
383: x1='-3.424682871317741', x2='14.446311280746693'
384: x1='6.325824588018403', x2='4.669239252227655'
385: x1='3.050283020038462', x2='2.669162303989692'
386: x1='3.067499633653913', x2='1.2440135541347326'
387: x1='2.975616755019125', x2='2.00086054603538'
388: x1='3.941790371054779', x2='3.8530838932860165'
389: x1='3.0088760953440126', x2='2.791177212398371'
390: x1='4.94665550079999', x2='12.70983498348292'
391: x1='2.959114675744038', x2='2.72824130098046'
392: x1='-2.924242248470519', x2='11.938561790464073'
393: x1='2.9683136724528305', x2='2.164654110425141'
394: x1='3.5357542594762155', x2='13.849592204004551'
395: x1='-2.524356146249373', x2='9.321852964664327'
396: x1='4.071925838024727', x2='6.54476708080582'
397: x1='-2.436093481453997', x2='9.642812365982634'
398: x1='-0.034695048120194194', x2='0.16450127898561095'
399: x1='-2.38479306567198', x2='9.391500976993571'
400: x1='6.351239564490701', x2='12.25931443259044'
401: x1='-2.3766780168903248', x2='9.395885105717255'
402: x1='-3.719282569074092', x2='5.043550482967797'
403: x1='-2.4523506748352473', x2='9.415796764598172'
404: x1='3.948433153150182', x2='3.031142135406444'
405: x1='3.0301204955912873', x2='2.4397032341823577'
406: x1='7.246678843852328', x2='6.208086480594788'
407: x1='3.0271587719428794', x2='3.0066088093924965'
408: x1='-1.9562142763670352', x2='6.768261238400536'
409: x1='3.018261341230442', x2='1.8437667365546007'
410: x1='2.0860962593447905', x2='6.311072297735471'
411: x1='3.028323755568735', x2='1.8577598413253864'
412: x1='6.319086146343501', x2='8.150442866471753'
413: x1='3.030273397391552', x2='0.8706680663791228'
414: x1='6.137780261439936', x2='0.8048680591129154'
415: x1='1.5542813585426236', x2='5.044184432972772'
416: x1='-3.3991340529148317', x2='1.9756490523921844'
417: x1='1.5764420273743571', x2='4.94378235641766'
418: x1='2.5977289398286922', x2='6.7899200859989115'
419: x1='1.6823808096157364', x2='5.105673611218772'
420: x1='1.0701463407787664', x2='12.862244937332525'
421: x1='1.5818239178914908', x2='5.005156911730434'
422: x1='0.9542287405540337', x2='2.3670627146826013'
423: x1='1.5265202673493246', x2='5.277237327192803'
424: x1='3.06558564955275', x2='8.91045798307581'
425: x1='2.93779046068863', x2='1.73531708849241'
426: x1='-0.2547431888840954', x2='2.195667004292385'
427: x1='2.954436952189078', x2='1.2578174339348207'
428: x1='2.739821138916315', x2='4.522249152244003'
429: x1='2.9519607554795986', x2='3.6253508594342314'
430: x1='9.295183870732139', x2='14.66401546531097'
431: x1='2.9447272466452423', x2='3.7530767211582097'
432: x1='-1.6115190493185594', x2='2.283059893670009'
433: x1='2.9412015664333175', x2='0.4797529072062412'
434: x1='-4.2623229036291', x2='14.421134802492935'
435: x1='8.617304894837895', x2='2.784234809254911'
436: x1='-4.383952906637578', x2='14.520974513690682'
437: x1='8.617521770262128', x2='1.6077061074571004'
438: x1='5.157574947530003', x2='7.76001423198948'
439: x1='8.613211025215117', x2='2.572015260611786'
440: x1='1.1890680293961706', x2='13.065465235298461'
441: x1='8.588416106047069', x2='1.4196097670569392'
442: x1='9.098126601340345', x2='14.369440775076114'
443: x1='8.582661520666766', x2='2.3233504952533464'
444: x1='-4.071501822803432', x2='8.690161278636953'
445: x1='7.702398044430714', x2='6.580014761432745'
446: x1='-4.091591152182169', x2='12.434526295926714'
447: x1='6.923623684313661', x2='8.824019560772001'
448: x1='-3.5465643776007156', x2='12.426778879417727'
449: x1='-4.48786862509262', x2='0.9709808882852122'
450: x1='-2.957279379461214', x2='11.631183002406546'
451: x1='-3.084824779918019', x2='8.236728265338744'
452: x1='-2.8374666799217403', x2='11.641362939066502'
453: x1='-3.6298676758088684', x2='13.140592991267313'
454: x1='-3.835996268093731', x2='12.526112242710653'
455: x1='3.04219173149966', x2='1.7542866053912498'
456: x1='9.2568498220906', x2='8.129912380158595'
457: x1='3.041618284684482', x2='1.7135037482240771'
458: x1='-4.779858157525607', x2='14.68821839956706'
459: x1='3.0440662691456826', x2='3.472264161144869'
460: x1='-2.746300082527107', x2='2.6982835384794264'
461: x1='3.0383988544029137', x2='3.5738570366804066'
462: x1='-4.344663213849918', x2='10.360295203604831'
463: x1='3.045065465532451', x2='3.7027089020886845'
464: x1='-3.528310386025502', x2='8.017272022257346'
465: x1='-3.141510680681927', x2='12.249104773158047'
466: x1='-2.296209866439798', x2='1.1430745336786996'
467: x1='-2.833212510659865', x2='11.480011012659212'
468: x1='5.542200481695293', x2='2.552975439577989'
469: x1='-2.8446054336115454', x2='11.552140701666898'
470: x1='5.8317087066201285', x2='2.110081260536652'
471: x1='-3.146236705309268', x2='11.568954974318428'
472: x1='-3.9214843916272946', x2='12.892108352090654'
473: x1='-2.8685535326125344', x2='11.473974362141618'
474: x1='-0.02659781800605021', x2='2.3594548460257334'
475: x1='2.9529749001010677', x2='2.292028452003789'
476: x1='-2.213351538232093', x2='9.500300096933685'
477: x1='2.9519607554795986', x2='2.280362189948581'
478: x1='7.596979621921628', x2='6.917051676757431'
479: x1='2.949484505555838', x2='2.1181444227891992'
480: x1='9.617634881390845', x2='10.472506788194217'
481: x1='2.9463584954130697', x2='4.188531256521003'
482: x1='-3.3214208048729787', x2='0.7166588381223726'
483: x1='-3.8346093200237785', x2='11.724440527707436'
484: x1='2.000343537283169', x2='1.9090579469077666'
485: x1='-3.4646270006398256', x2='12.265124740794647'
486: x1='-1.3819676431767562', x2='6.020973116576872'
487: x1='-3.7362593991534796', x2='11.847828796072504'
488: x1='7.351742175511546', x2='7.5132313103461374'
489: x1='-3.7905059663498477', x2='12.095511076654384'
490: x1='0.4750699665805138', x2='9.047897731302243'
491: x1='2.548757918374955', x2='2.383393385290278'
492: x1='-0.7766201872458831', x2='11.575613673940563'
493: x1='-3.805220188247773', x2='11.535245284159972'
494: x1='-0.5051873815997707', x2='4.8785756063825305'
495: x1='-3.4910078963496454', x2='12.275207946177977'
496: x1='-2.235361960327266', x2='8.693107363729704'
497: x1='-2.765918579159505', x2='12.277590603734394'
498: x1='-0.529892926502721', x2='10.783218219081803'
499: x1='-1.16916635173002', x2='12.017723370683125'
500: x1='5.335371600381416', x2='6.544241305971024'
501: x1='-1.138439033036498', x2='11.938561790464073'
502: x1='-3.825279676155274', x2='5.064842200053154'
503: x1='-1.210868588548041', x2='12.209956542115806'
504: x1='1.4310151380556704', x2='12.96883108547298'
505: x1='-2.900303085128243', x2='12.270009539280721'
506: x1='6.836381543547599', x2='9.465115364409822'
507: x1='2.9612996744148354', x2='4.7434436685216355'
508: x1='4.6585054002938175', x2='14.849499860230981'
509: x1='-4.029019079498586', x2='5.1806149424261045'
510: x1='5.658563033494133', x2='6.701859305545909'
511: x1='-3.9926307727917', x2='5.5990910409939785'
512: x1='0.9706454376482512', x2='6.355168231474669'
513: x1='-4.0629091810516185', x2='5.222026099117935'
514: x1='-0.8237745646047339', x2='11.255071243009592'
515: x1='2.952722606730932', x2='5.552487774989995'
516: x1='-3.7556714451060875', x2='11.751284124905252'
517: x1='-3.758450129121558', x2='12.492703289695006'
518: x1='5.393514887593668', x2='7.8667881800473936'
519: x1='-3.4253922782658326', x2='12.460069171233327'
520: x1='-4.065862571297028', x2='1.2260769377656016'
521: x1='-3.5539801303276986', x2='12.501322902147695'
522: x1='-0.6465828339690054', x2='13.870968156667153'
523: x1='-2.915652622933661', x2='12.505952554508465'
524: x1='-4.327334991281845', x2='12.585639469257206'
525: x1='-2.8501148645249934', x2='12.54295905474837'
526: x1='4.728818606920411', x2='10.322108469354806'
527: x1='-3.0133320910324923', x2='12.541212329366676'
528: x1='-1.5183209008889884', x2='1.5455504793678887'
529: x1='-3.634960428727345', x2='12.564487514450814'
530: x1='9.102556797428848', x2='0.55361184028976'
531: x1='-3.325648066357733', x2='12.676729656714068'
532: x1='1.0761957841035814', x2='7.364552542873051'
533: x1='-3.4061983956255486', x2='12.66942350924584'
534: x1='-2.751199566189117', x2='0.5200838088635068'
